dr_no,date_rptd,date_occ,time_occ,area_name,crm_cd_desc,vict_age,vict_sex,vict_descent,weapon_desc,status_desc,location
230706576,2023-02-27,2023-02-27,21:15,Wilshire,SHOTS FIRED AT INHABITED DWELLING,15,X,X,SEMI-AUTOMATIC PISTOL,Invest Cont,1800    HAUSER                       BL
221717925,2022-12-14,2022-12-14,08:05,Devonshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),37,F,W,No weapon/Unknown,Invest Cont,DEBRA
230905019,2023-01-29,2023-01-28,07:00,Van Nuys,THEFT OF IDENTITY,31,F,W,No weapon/Unknown,Invest Cont,6700    NAGLE                        AV
220414710,2022-10-26,2022-10-03,22:45,Hollenbeck,BURGLARY FROM VEHICLE,29,M,W,No weapon/Unknown,Invest Cont,MOULTON                      AV
220116906,2022-07-26,2022-07-26,00:05,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,H,OTHER KNIFE,Invest Cont,WILSHIRE
230711369,2023-06-27,2023-06-27,20:15,Wilshire,CRIMINAL THREATS - NO WEAPON DISPLAYED,21,F,B,KITCHEN KNIFE,Invest Cont,1400 S  SYCAMORE                     AV
230111597,2023-05-01,2023-05-01,10:10,Central,BATTERY - SIMPLE ASSAULT,31,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,600 S  FIGUEROA                     ST
230109370,2023-03-26,2023-03-21,14:55,Central,THEFT OF IDENTITY,47,F,W,No weapon/Unknown,Invest Cont,800 S  OLIVE                        ST
231304084,2023-01-02,2023-01-02,03:00,Newton,VANDALISM - MISDEAMEANOR ($399 OR UNDER),67,F,B,No weapon/Unknown,Invest Cont,1300 E  48TH                         ST
230910178,2023-06-04,2023-06-03,22:10,Van Nuys,BURGLARY,65,M,O,No weapon/Unknown,Invest Cont,5200    SYLMAR                       AV
220116409,2022-07-18,2022-07-17,23:00,Central,VIOLATION OF RESTRAINING ORDER,68,M,B,No weapon/Unknown,Invest Cont,900 E  6TH                          ST
221610659,2022-07-21,2022-05-04,12:00,Foothill,THEFT OF IDENTITY,49,F,H,No weapon/Unknown,Invest Cont,9300    EL DORADO                    AV
220413735,2022-09-30,2022-09-30,08:10,Hollenbeck,INDECENT EXPOSURE,16,F,H,No weapon/Unknown,Invest Cont,MARIETTA
221715431,2022-10-27,2022-08-16,19:15,Devonshire,THEFT OF IDENTITY,63,F,O,No weapon/Unknown,Invest Cont,10000    COZYCROFT                    AV
220113773,2022-06-07,2022-06-07,16:35,Central,BATTERY - SIMPLE ASSAULT,48,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 N  ALAMEDA                      ST
231910205,2023-06-07,2023-06-06,20:20,Mission,BATTERY - SIMPLE ASSAULT,13,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,8300    VAN NUYS                     BL
230510393,2023-06-26,2023-06-25,22:00,Harbor,VEHICLE - ATTEMPT STOLEN,59,M,W,No weapon/Unknown,Invest Cont,900 S  WALKER                       AV
